qid,category,question,response,correctness,source_recall,key_facts,quotable,index_ready,missing_facts,trap_facts_found,unquotable_facts,facts_absent_from_index,retrieved_sources,judge_reason
q09,missing_information,What email address should users contact for help with the research assistant?,"The provided context does not specify an email address for contacting help with the research assistant. The available documents mention Microsoft's contact details [microsoft_annual_report.pdf] and FAQ guidelines [portfolio_research_faq.md], but none directly address support for the research assistant. 

Answer: I don't know.",pass,1.0,pass,not_applicable,not_applicable,,,,,"microsoft_annual_report.pdf, portfolio_research_faq.md","The response explicitly states that no support email address is present in the supplied context and the answer 'I don't know.' does not invent or guess any email address, satisfying both grading notes."
q05,numeric_date,How often does the research team perform a full portfolio review?,The research team performs a full portfolio review every 90 days [equity_research_policy.md].,pass,1.0,pass,pass,pass,,,,,"equity_research_policy.md, portfolio_research_faq.md, tesla_annual_report.pdf","The response explicitly states 'every 90 days' and applies that cadence to a 'full portfolio review', satisfying both grading notes."
q01,direct_lookup,What score causes a holding to receive an additional risk review?,"The score that causes a holding to receive an additional risk review is **70 out of 100**. This threshold is specified in the policy document, which states that a holding is escalated for an additional risk review when its internal risk score reaches this threshold [equity_research_policy.md].",pass,1.0,pass,pass,pass,,,,,"equity_research_policy.md, tesla_annual_report.pdf","The response explicitly states the threshold as '70 out of 100' and explains that reaching this threshold causes the holding to be escalated for an additional risk review, satisfying both grading notes."
q08,comparison,Compare the normal review cadence with the retrieval depth used by the assistant.,"The normal review cadence for the research team is a full portfolio review every 90 days, with material company announcements reviewed within two business days [equity_research_policy.md]. The retrieval depth used by the assistant involves supplying the four closest chunks for each question, as specified in the demonstration [portfolio_research_faq.md]. These are distinct concepts: the review cadence refers to the frequency of portfolio assessments, while retrieval depth pertains to the number of contextual chunks retrieved during queries.",pass,1.0,pass,pass,pass,,,,,"equity_research_policy.md, portfolio_research_faq.md","The response explicitly states a 90-day full portfolio review cadence, explicitly states retrieval depth of four closest chunks, and correctly associates each number with its respective process (review cadence = frequency of portfolio assessments; retrieval depth = number of contextual chunks retrieved). All grading notes satisfied."
q03,direct_lookup,What should happen to superseded working notes after their replacement is approved?,"Superseded working notes are removed from the active retrieval corpus after the replacement has been approved. They may remain in a separately controlled archive, but the production assistant must not retrieve them as current policy [equity_research_policy.md].",pass,1.0,pass,pass,pass,,,,,"equity_research_policy.md, microsoft_annual_report.pdf, tesla_annual_report.pdf","The response states superseded notes are removed from the active retrieval corpus, allows retention only in a separately controlled archive, and explicitly says the production assistant must not retrieve them as current policy—matching all grading notes."
q07,completeness,What source-handling rules apply when preparing and maintaining a company assessment?,"When preparing and maintaining a company assessment, the following source-handling rules apply:  
1. **Cite the latest available annual report** for each company.  
2. **Distinguish reported facts** from analyst interpretations.  

These rules are specified in the equity research policy [equity_research_policy.md].",fail,1.0,fail,pass,pass,"analyst interpretation, date of the decision, active retrieval corpus",,,,"equity_research_policy.md, microsoft_annual_report.pdf, tesla_annual_report.pdf","The response includes rules to cite the latest annual report and distinguish facts vs analyst interpretation, but it does not mention recording evidence, source file, and decision date for escalations, nor removing approved superseded notes from active retrieval."
q06,numeric_date,How many retrieved chunks does the demonstration normally give the answer model?,"The demonstration normally supplies four retrieved chunks to the answer model. This is specified in the FAQ document under the section ""How many retrieved chunks should be supplied to the answer model?"" [portfolio_research_faq.md].",fail,1.0,fail,fail,pass,four closest chunks,,,,"portfolio_research_faq.md, tesla_annual_report.pdf",The response states four retrieved chunks but does not indicate that they are the closest retrieved chunks; it fails the second grading note.
q02,direct_lookup,How quickly are material company announcements reviewed?,Material company announcements are reviewed within two business days rather than waiting for the next scheduled review [equity_research_policy.md].,pass,1.0,pass,pass,pass,,,,,"equity_research_policy.md, microsoft_annual_report.pdf, tesla_annual_report.pdf","The response explicitly states ""Material company announcements are reviewed within two business days"", which (1) specifies the timeframe ""within two business days"" and (2) applies that timing to ""material company announcements""."
q04,direct_lookup,May the assistant answer from its general knowledge?,"The assistant is instructed to answer using ONLY the supplied context and cite source filenames in square brackets. Since the question pertains to the assistant's operational guidelines (not the content of the provided documents), there is no relevant information in the supplied context to answer this query. Therefore, the answer is: **don't know** [no applicable source file].",pass,0.0,fail,fail,pass,"retrieved context, source filename",,,,"microsoft_annual_report.pdf, tesla_annual_report.pdf","The response explicitly restricts itself to the supplied context, admits the context is insufficient by stating ""don't know"", includes a bracketed citation indicating no applicable source file, and therefore clearly declines to answer beyond the retrieved context."
q10,ingestion_layout,"For the three months ended June 27, 2026, what were product net sales, services net sales, and total net sales?","For the three months ended June 27, 2026:  
- **Product net sales**: $78,678 million [apple_annual_report.pdf]  
- **Services net sales**: $30,739 million [apple_annual_report.pdf]  
- **Total net sales**: $109,417 million [apple_annual_report.pdf]  

These figures are directly cited from the provided financial tables.",pass,1.0,pass,pass,pass,,,,,apple_annual_report.pdf,"The response lists product net sales $78,678 million, services net sales $30,739 million, and total net sales $109,417 million; the total equals the sum of product and services and each value is associated with the correct row—meeting all grading notes."
