qid,category,question,response,correctness,source_recall,key_facts,quotable,index_ready,missing_facts,trap_facts_found,unquotable_facts,facts_absent_from_index,retrieved_sources,judge_reason
q08,comparison,Compare the normal review cadence with the retrieval depth used by the assistant.,"The normal review cadence involves a full portfolio review every 90 days, with material company announcements reviewed within two business days [equity_research_policy.md]. The retrieval depth used by the assistant refers to the number of chunks retrieved for answering questions, which is set to four closest chunks in the demonstration [portfolio_research_faq.md]. These concepts address different processes: review cadence pertains to periodic portfolio assessments, while retrieval depth relates to the quantity of contextual data sourced for generating responses.",pass,1.0,pass,pass,pass,,,,,"equity_research_policy.md, portfolio_research_faq.md, tesla_annual_report.pdf","The response explicitly states a 90-day full review cadence, explicitly states a retrieval depth of four closest chunks, and correctly associates each number with its respective process (90 days for review cadence; four chunks for retrieval depth)."
q02,direct_lookup,How quickly are material company announcements reviewed?,Material company announcements are reviewed within two business days rather than waiting for the next scheduled review [equity_research_policy.md].,pass,1.0,pass,pass,pass,,,,,"apple_annual_report.pdf, equity_research_policy.md, microsoft_annual_report.pdf, tesla_annual_report.pdf","The response explicitly says material company announcements are reviewed ""within two business days"" and applies that timing to ""material company announcements,"" satisfying both grading notes."
q10,ingestion_layout,"For the three months ended June 27, 2026, what were product net sales, services net sales, and total net sales?","For the three months ended June 27, 2026:  
- **Product net sales**: $78,678 million [apple_annual_report.pdf]  
- **Services net sales**: $30,739 million [apple_annual_report.pdf]  
- **Total net sales**: $109,417 million [apple_annual_report.pdf]  

These figures are directly listed in the ""Net sales"" section of the report.",pass,1.0,pass,pass,pass,,,,,apple_annual_report.pdf,"The response states product net sales $78,678 million, services net sales $30,739 million, and total net sales $109,417 million, with each value correctly associated with its respective row as required by the grading notes."
q03,direct_lookup,What should happen to superseded working notes after their replacement is approved?,"Superseded working notes are removed from the active retrieval corpus after the replacement has been approved. They may remain in a separately controlled archive, but the production assistant must not retrieve them as current policy [equity_research_policy.md].",pass,1.0,pass,pass,pass,,,,,"equity_research_policy.md, microsoft_annual_report.pdf, tesla_annual_report.pdf","Response states removal from the active retrieval corpus, permits retention only in a separately controlled archive, and explicitly prohibits production assistant retrieval as current policy; it matches all grading notes."
q06,numeric_date,How many retrieved chunks does the demonstration normally give the answer model?,"The demonstration normally supplies four retrieved chunks to the answer model. This is specified in the FAQ under the section ""How many retrieved chunks should be supplied to the answer model?"" [portfolio_research_faq.md].",fail,1.0,fail,fail,pass,four closest chunks,,,,"equity_research_policy.md, microsoft_annual_report.pdf, portfolio_research_faq.md, tesla_annual_report.pdf","The response states 'four retrieved chunks' but does not indicate that they are the closest retrieved chunks, so it fails the second grading note."
q09,missing_information,What email address should users contact for help with the research assistant?,"The provided context does not explicitly mention an email address for contacting help with the research assistant. While the Microsoft annual report includes contact details (e.g., keithd@microsoft.com for Microsoft Corporation), this is unrelated to the research assistant's support. Since no email for the assistant is specified in the context, the answer is unavailable. 

**Answer:** I don't know.",pass,1.0,pass,not_applicable,not_applicable,,,,,"microsoft_annual_report.pdf, portfolio_research_faq.md",The response correctly states that the support email is not available in the supplied context and does not invent or guess an address; it answers 'I don't know' accordingly.
q07,completeness,What source-handling rules apply when preparing and maintaining a company assessment?,"When preparing and maintaining a company assessment, the following source-handling rules apply:  
1. **Cite the latest available annual report** for each company assessment [equity_research_policy.md].  
2. **Distinguish reported facts from analyst interpretations** to ensure clarity and objectivity [equity_research_policy.md].  

These rules are explicitly outlined in the equity research review policy and apply to the covered companies (Apple, Microsoft, and Tesla). Other documents (e.g., annual reports) provide financial data but do not specify source-handling rules for assessments.",fail,1.0,fail,pass,pass,"analyst interpretation, date of the decision, active retrieval corpus",,,,"apple_annual_report.pdf, equity_research_policy.md, microsoft_annual_report.pdf, tesla_annual_report.pdf","Response satisfies requirements to cite the latest annual report and to distinguish reported facts from analyst interpretation, but it does not mention recording evidence, source file, and decision date for escalations, nor removing approved superseded notes from active retrieval."
q01,direct_lookup,What score causes a holding to receive an additional risk review?,The score that causes a holding to receive an additional risk review is **70 out of 100**. This threshold is specified in the equity research policy document [equity_research_policy.md].,pass,1.0,pass,pass,pass,,,,,"equity_research_policy.md, microsoft_annual_report.pdf, tesla_annual_report.pdf","The response explicitly states '70 out of 100' and directly says this score causes a holding to receive an additional risk review, satisfying both grading notes."
q04,direct_lookup,May the assistant answer from its general knowledge?,"I don't know. The provided context does not address whether the assistant may use general knowledge to answer questions. The context primarily contains excerpts from Tesla and Microsoft annual reports discussing financial disclosures, employee benefits, and administrative procedures [tesla_annual_report.pdf][microsoft_annual_report.pdf].",fail,0.0,fail,fail,pass,"retrieved context, source filename",,,,"microsoft_annual_report.pdf, tesla_annual_report.pdf",The response fails to meet two grading notes: it does not clearly say 'no' (it says 'I don't know') and it does not state that answers are restricted to the retrieved context. It does include source filename citations and admits the context is insufficient.
q05,numeric_date,How often does the research team perform a full portfolio review?,The research team performs a full portfolio review every 90 days [equity_research_policy.md].,pass,1.0,pass,pass,pass,,,,,"equity_research_policy.md, microsoft_annual_report.pdf, portfolio_research_faq.md, tesla_annual_report.pdf","The response explicitly states the cadence as ""every 90 days"" and applies that cadence to a ""full portfolio review"", satisfying both grading notes."
